value_name,inserted_ts,values,name,id,value_type,item_id,value_id
intensos y dulces,2025-02-17 04:39:36,"[{'id': '16883481', 'name': 'intensos y dulces', 'struct': None}]",Aromas,AROMAS,string,MLA1387607165,16883481
12 meses,2025-02-17 04:39:36,"[{'id': '9163256', 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]",Tiempo en barrica,BARREL_TIME,number_unit,MLA1387607165,9163256
Nicasia Vineyards,2025-02-17 04:39:36,"[{'id': '16935924', 'name': 'Nicasia Vineyards', 'struct': None}]",Marca,BRAND,string,MLA1387607165,16935924
Catena Zapata,2025-02-17 04:39:36,"[{'id': '2292304', 'name': 'Catena Zapata', 'struct': None}]",Bodega,CELLAR,string,MLA1387607165,2292304
15 °C,2025-02-17 04:39:36,"[{'id': '12989792', 'name': '15 °C', 'struct': {'number': 15, 'unit': '°C'}}]",Temperatura ideal de consumo,IDEAL_CONSUMING_TEMPERATURE,number_unit,MLA1387607165,12989792
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Incluye estuche,INCLUDES_CASE,boolean,MLA1387607165,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es bebida sin alcohol,IS_NON_ALCOHOLIC_DRINK,boolean,MLA1387607165,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es orgánico,IS_ORGANIC,boolean,MLA1387607165,242084
Nuevo,2025-02-17 04:39:36,"[{'id': '2230284', 'name': 'Nuevo', 'struct': None}]",Condición del ítem,ITEM_CONDITION,list,MLA1387607165,2230284
Red Blend,2025-02-17 04:39:36,"[{'id': '11051507', 'name': 'Red Blend', 'struct': None}]",Línea,LINE,string,MLA1387607165,11051507
Vino tinto Nicasia Red Blend Malbec Catena Zapata 750ml Caja X 6u,2025-02-17 04:39:36,"[{'id': '46943895', 'name': 'Vino tinto Nicasia Red Blend Malbec Catena Zapata 750ml Caja X 6u', 'struct': None}]",Título manual,MANUAL_TITLE,string,MLA1387607165,46943895
Argentina,2025-02-17 04:39:36,"[{'id': '96380', 'name': 'Argentina', 'struct': None}]",Origen,ORIGIN,string,MLA1387607165,96380
Botella,2025-02-17 04:39:36,"[{'id': '2290293', 'name': 'Botella', 'struct': None}]",Tipo de envase,PACKAGING_TYPE,string,MLA1387607165,2290293
Maridaje,2025-02-17 04:39:36,"[{'id': '16574774', 'name': 'Maridaje', 'struct': None}]",Maridajes,PAIRINGS,string,MLA1387607165,16574774
Temperatura ambiente,2025-02-17 04:39:36,"[{'id': '10792872', 'name': 'Temperatura ambiente', 'struct': None}]",Conservación del producto,PRODUCT_CONSERVATION,list,MLA1387607165,10792872
"Frágil,Contiene líquido",2025-02-17 04:39:36,"[{'id': '7435883', 'name': 'Frágil', 'struct': None}, {'id': '7435885', 'name': 'Contiene líquido', 'struct': None}]",Características del producto,PRODUCT_FEATURES,list,MLA1387607165,
Mendoza,2025-02-17 04:39:36,"[{'id': '13244147', 'name': 'Mendoza', 'struct': None}]",Regiones,REGIONS,string,MLA1387607165,13244147
Pack,2025-02-17 04:39:36,"[{'id': '1359392', 'name': 'Pack', 'struct': None}]",Formato de venta,SALE_FORMAT,list,MLA1387607165,1359392
05890,2025-02-17 04:39:36,"[{'id': None, 'name': '05890', 'struct': None}]",SKU,SELLER_SKU,string,MLA1387607165,
6,2025-02-17 04:39:36,"[{'id': '140750', 'name': '6', 'struct': None}]",Unidades por pack,UNITS_PER_PACK,number,MLA1387607165,140750
750 mL,2025-02-17 04:39:36,"[{'id': '2292305', 'name': '750 mL', 'struct': {'number': 750, 'unit': 'mL'}}]",Volumen de la unidad,UNIT_VOLUME,number_unit,MLA1387607165,2292305
Malbec,2025-02-17 04:39:36,"[{'id': '2107336', 'name': 'Malbec', 'struct': None}]",Varietal,VARIETAL,string,MLA1387607165,2107336
Tinto,2025-02-17 04:39:36,"[{'id': '2107333', 'name': 'Tinto', 'struct': None}]",Tipo de vino,WINE_TYPE,string,MLA1387607165,2107333
1,2025-02-17 04:39:36,"[{'id': None, 'name': '1', 'struct': None}]",Cantidad de packs,PACKS_NUMBER,integer,MLA1926589082,
14 %,2025-02-17 04:39:36,"[{'id': '8897089', 'name': '14 %', 'struct': {'number': 14, 'unit': '%'}}]",Graduación alcohólica,ALCOHOL_BY_VOLUME,number_unit,MLA1926589082,8897089
Especias,2025-02-17 04:39:36,"[{'id': '8869919', 'name': 'Especias', 'struct': None}]",Aromas,AROMAS,string,MLA1926589082,8869919
36 meses,2025-02-17 04:39:36,"[{'id': '13402548', 'name': '36 meses', 'struct': {'number': 36, 'unit': 'meses'}}]",Tiempo en barrica,BARREL_TIME,number_unit,MLA1926589082,13402548
Saint Felicien,2025-02-17 04:39:36,"[{'id': '18698', 'name': 'Saint Felicien', 'struct': None}]",Marca,BRAND,string,MLA1926589082,18698
Catena Zapata,2025-02-17 04:39:36,"[{'id': '2292304', 'name': 'Catena Zapata', 'struct': None}]",Bodega,CELLAR,string,MLA1926589082,2292304
16 °C,2025-02-17 04:39:36,"[{'id': '12240407', 'name': '16 °C', 'struct': {'number': 16, 'unit': '°C'}}]",Temperatura ideal de consumo,IDEAL_CONSUMING_TEMPERATURE,number_unit,MLA1926589082,12240407
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Incluye estuche,INCLUDES_CASE,boolean,MLA1926589082,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es bebida sin alcohol,IS_NON_ALCOHOLIC_DRINK,boolean,MLA1926589082,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es orgánico,IS_ORGANIC,boolean,MLA1926589082,242084
Nuevo,2025-02-17 04:39:36,"[{'id': '2230284', 'name': 'Nuevo', 'struct': None}]",Condición del ítem,ITEM_CONDITION,list,MLA1926589082,2230284
Malbec,2025-02-17 04:39:36,"[{'id': '9692652', 'name': 'Malbec', 'struct': None}]",Línea,LINE,string,MLA1926589082,9692652
Vino Tinto Saint Felicien Malbec 750ml Pack X6,2025-02-17 04:39:36,"[{'id': '28607258', 'name': 'Vino Tinto Saint Felicien Malbec 750ml Pack X6', 'struct': None}]",Título manual,MANUAL_TITLE,string,MLA1926589082,28607258
Argentina,2025-02-17 04:39:36,"[{'id': '96380', 'name': 'Argentina', 'struct': None}]",Origen,ORIGIN,string,MLA1926589082,96380
Botella,2025-02-17 04:39:36,"[{'id': '2290293', 'name': 'Botella', 'struct': None}]",Tipo de envase,PACKAGING_TYPE,string,MLA1926589082,2290293
-1,2025-02-17 04:39:36,"[{'id': '22549415', 'name': '-1', 'struct': None}]",Maridajes,PAIRINGS,string,MLA1926589082,22549415
Temperatura ambiente,2025-02-17 04:39:36,"[{'id': '10792872', 'name': 'Temperatura ambiente', 'struct': None}]",Conservación del producto,PRODUCT_CONSERVATION,list,MLA1926589082,10792872
"Frágil,Contiene líquido",2025-02-17 04:39:36,"[{'id': '7435883', 'name': 'Frágil', 'struct': None}, {'id': '7435885', 'name': 'Contiene líquido', 'struct': None}]",Características del producto,PRODUCT_FEATURES,list,MLA1926589082,
Mendoza,2025-02-17 04:39:36,"[{'id': '13244147', 'name': 'Mendoza', 'struct': None}]",Regiones,REGIONS,string,MLA1926589082,13244147
Pack,2025-02-17 04:39:36,"[{'id': '1359392', 'name': 'Pack', 'struct': None}]",Formato de venta,SALE_FORMAT,list,MLA1926589082,1359392
FM0031K,2025-02-17 04:39:36,"[{'id': None, 'name': 'FM0031K', 'struct': None}]",SKU,SELLER_SKU,string,MLA1926589082,
3 años,2025-02-17 04:39:36,"[{'id': '11404715', 'name': '3 años', 'struct': {'number': 3, 'unit': 'años'}}]",Vida útil,SHELF_LIFE,number_unit,MLA1926589082,11404715
6,2025-02-17 04:39:36,"[{'id': '140750', 'name': '6', 'struct': None}]",Unidades por pack,UNITS_PER_PACK,number,MLA1926589082,140750
750 mL,2025-02-17 04:39:36,"[{'id': '2292305', 'name': '750 mL', 'struct': {'number': 750, 'unit': 'mL'}}]",Volumen de la unidad,UNIT_VOLUME,number_unit,MLA1926589082,2292305
Malbec,2025-02-17 04:39:36,"[{'id': '2107336', 'name': 'Malbec', 'struct': None}]",Varietal,VARIETAL,string,MLA1926589082,2107336
Cartón,2025-02-17 04:39:36,"[{'id': '13418935', 'name': 'Cartón', 'struct': None}]",Material del estuche,WINE_CASE_MATERIAL,string,MLA1926589082,13418935
Tinto,2025-02-17 04:39:36,"[{'id': '2107333', 'name': 'Tinto', 'struct': None}]",Tipo de vino,WINE_TYPE,string,MLA1926589082,2107333
-1,2025-02-17 04:39:36,"[{'id': '22388630', 'name': '-1', 'struct': None}]",Año,YEAR,number,MLA1926589082,22388630
13 %,2025-02-17 04:39:36,"[{'id': '8897086', 'name': '13 %', 'struct': {'number': 13, 'unit': '%'}}]",Graduación alcohólica,ALCOHOL_BY_VOLUME,number_unit,MLA1420220799,8897086
Frutos rojos,2025-02-17 04:39:36,"[{'id': '8869920', 'name': 'Frutos rojos', 'struct': None}]",Aromas,AROMAS,string,MLA1420220799,8869920
12 meses,2025-02-17 04:39:36,"[{'id': '9163256', 'name': '12 meses', 'struct': {'number': 12, 'unit': 'meses'}}]",Tiempo en barrica,BARREL_TIME,number_unit,MLA1420220799,9163256
Trumpeter,2025-02-17 04:39:36,"[{'id': '2305922', 'name': 'Trumpeter', 'struct': None}]",Marca,BRAND,string,MLA1420220799,2305922
La Rural,2025-02-17 04:39:36,"[{'id': '3635851', 'name': 'La Rural', 'struct': None}]",Bodega,CELLAR,string,MLA1420220799,3635851
16 °C,2025-02-17 04:39:36,"[{'id': '12240407', 'name': '16 °C', 'struct': {'number': 16, 'unit': '°C'}}]",Temperatura ideal de consumo,IDEAL_CONSUMING_TEMPERATURE,number_unit,MLA1420220799,12240407
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Incluye estuche,INCLUDES_CASE,boolean,MLA1420220799,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es bebida sin alcohol,IS_NON_ALCOHOLIC_DRINK,boolean,MLA1420220799,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es orgánico,IS_ORGANIC,boolean,MLA1420220799,242084
Nuevo,2025-02-17 04:39:36,"[{'id': '2230284', 'name': 'Nuevo', 'struct': None}]",Condición del ítem,ITEM_CONDITION,list,MLA1420220799,2230284
Trumpeter,2025-02-17 04:39:36,"[{'id': '13687679', 'name': 'Trumpeter', 'struct': None}]",Línea,LINE,string,MLA1420220799,13687679
Vino Tinto Trumpeter Malbec 750ml Botella Rutini Wines,2025-02-17 04:39:36,"[{'id': '13152331', 'name': 'Vino Tinto Trumpeter Malbec 750ml Botella Rutini Wines', 'struct': None}]",Título manual,MANUAL_TITLE,string,MLA1420220799,13152331
Argentina,2025-02-17 04:39:36,"[{'id': '96380', 'name': 'Argentina', 'struct': None}]",Origen,ORIGIN,string,MLA1420220799,96380
Botella,2025-02-17 04:39:36,"[{'id': '2290293', 'name': 'Botella', 'struct': None}]",Tipo de envase,PACKAGING_TYPE,string,MLA1420220799,2290293
"Carne,Pasta,Pollo",2025-02-17 04:39:36,"[{'id': '8869917', 'name': 'Carne', 'struct': None}, {'id': '8869918', 'name': 'Pasta', 'struct': None}, {'id': '8869916', 'name': 'Pollo', 'struct': None}]",Maridajes,PAIRINGS,string,MLA1420220799,
Temperatura ambiente,2025-02-17 04:39:36,"[{'id': '10792872', 'name': 'Temperatura ambiente', 'struct': None}]",Conservación del producto,PRODUCT_CONSERVATION,list,MLA1420220799,10792872
Contiene líquido,2025-02-17 04:39:36,"[{'id': '7435885', 'name': 'Contiene líquido', 'struct': None}]",Características del producto,PRODUCT_FEATURES,list,MLA1420220799,7435885
Mendoza,2025-02-17 04:39:36,"[{'id': '13244147', 'name': 'Mendoza', 'struct': None}]",Regiones,REGIONS,string,MLA1420220799,13244147
Unidad,2025-02-17 04:39:36,"[{'id': '1359391', 'name': 'Unidad', 'struct': None}]",Formato de venta,SALE_FORMAT,list,MLA1420220799,1359391
1,2025-02-17 04:39:36,"[{'id': '2726554', 'name': '1', 'struct': None}]",Unidades por pack,UNITS_PER_PACK,number,MLA1420220799,2726554
750 mL,2025-02-17 04:39:36,"[{'id': '2292305', 'name': '750 mL', 'struct': {'number': 750, 'unit': 'mL'}}]",Volumen de la unidad,UNIT_VOLUME,number_unit,MLA1420220799,2292305
Malbec,2025-02-17 04:39:36,"[{'id': '2107336', 'name': 'Malbec', 'struct': None}]",Varietal,VARIETAL,string,MLA1420220799,2107336
Cartón,2025-02-17 04:39:36,"[{'id': '13418935', 'name': 'Cartón', 'struct': None}]",Material del estuche,WINE_CASE_MATERIAL,string,MLA1420220799,13418935
Tinto,2025-02-17 04:39:36,"[{'id': '2107333', 'name': 'Tinto', 'struct': None}]",Tipo de vino,WINE_TYPE,string,MLA1420220799,2107333
14 %,2025-02-17 04:39:36,"[{'id': '8897089', 'name': '14 %', 'struct': {'number': 14, 'unit': '%'}}]",Graduación alcohólica,ALCOHOL_BY_VOLUME,number_unit,MLA1454036071,8897089
madera y frutos rojos,2025-02-17 04:39:36,"[{'id': '20173207', 'name': 'madera y frutos rojos', 'struct': None}]",Aromas,AROMAS,string,MLA1454036071,20173207
14 meses,2025-02-17 04:39:36,"[{'id': '9163246', 'name': '14 meses', 'struct': {'number': 14, 'unit': 'meses'}}]",Tiempo en barrica,BARREL_TIME,number_unit,MLA1454036071,9163246
El Enemigo,2025-02-17 04:39:36,"[{'id': '12994118', 'name': 'El Enemigo', 'struct': None}]",Marca,BRAND,string,MLA1454036071,12994118
Aleanna,2025-02-17 04:39:36,"[{'id': '13935872', 'name': 'Aleanna', 'struct': None}]",Bodega,CELLAR,string,MLA1454036071,13935872
17 °C,2025-02-17 04:39:36,"[{'id': '13020287', 'name': '17 °C', 'struct': {'number': 17, 'unit': '°C'}}]",Temperatura ideal de consumo,IDEAL_CONSUMING_TEMPERATURE,number_unit,MLA1454036071,13020287
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Incluye estuche,INCLUDES_CASE,boolean,MLA1454036071,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es bebida sin alcohol,IS_NON_ALCOHOLIC_DRINK,boolean,MLA1454036071,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es orgánico,IS_ORGANIC,boolean,MLA1454036071,242084
Nuevo,2025-02-17 04:39:36,"[{'id': '2230284', 'name': 'Nuevo', 'struct': None}]",Condición del ítem,ITEM_CONDITION,list,MLA1454036071,2230284
Vino El Enemigo Malbec 750ml,2025-02-17 04:39:36,"[{'id': '13935874', 'name': 'Vino El Enemigo Malbec 750ml', 'struct': None}]",Título manual,MANUAL_TITLE,string,MLA1454036071,13935874
Botella,2025-02-17 04:39:36,"[{'id': '2290293', 'name': 'Botella', 'struct': None}]",Tipo de envase,PACKAGING_TYPE,string,MLA1454036071,2290293
"Carnes rojas,Hongos,Quesos duros",2025-02-17 04:39:36,"[{'id': '9799230', 'name': 'Carnes rojas', 'struct': None}, {'id': '24624377', 'name': 'Hongos', 'struct': None}, {'id': '9961617', 'name': 'Quesos duros', 'struct': None}]",Maridajes,PAIRINGS,string,MLA1454036071,
Temperatura ambiente,2025-02-17 04:39:36,"[{'id': '10792872', 'name': 'Temperatura ambiente', 'struct': None}]",Conservación del producto,PRODUCT_CONSERVATION,list,MLA1454036071,10792872
"Frágil,Contiene líquido",2025-02-17 04:39:36,"[{'id': '7435883', 'name': 'Frágil', 'struct': None}, {'id': '7435885', 'name': 'Contiene líquido', 'struct': None}]",Características del producto,PRODUCT_FEATURES,list,MLA1454036071,
Viñedo Angelica (Lunlunta) y Viñedo Nicasia (Paraje Altamira),2025-02-17 04:39:36,"[{'id': '37751985', 'name': 'Viñedo Angelica (Lunlunta) y Viñedo Nicasia (Paraje Altamira)', 'struct': None}]",Regiones,REGIONS,string,MLA1454036071,37751985
,2025-02-17 04:39:36,"[{'id': '-1', 'name': None, 'struct': None}]",Número de Registro Nacional de Establecimiento (RNE),RNE_ESTABLISHMENT_NATIONAL_REGISTRATION_NUMBER,string,MLA1454036071,-1
,2025-02-17 04:39:36,"[{'id': '-1', 'name': None, 'struct': None}]",Número de inscripción de producto (RNPA),RNPA_PRODUCT_INSCRIPTION_NUMBER,string,MLA1454036071,-1
Unidad,2025-02-17 04:39:36,"[{'id': '1359391', 'name': 'Unidad', 'struct': None}]",Formato de venta,SALE_FORMAT,list,MLA1454036071,1359391
187-C22,2025-02-17 04:39:36,"[{'id': None, 'name': '187-C22', 'struct': None}]",SKU,SELLER_SKU,string,MLA1454036071,
3 años,2025-02-17 04:39:36,"[{'id': '11404715', 'name': '3 años', 'struct': {'number': 3, 'unit': 'años'}}]",Vida útil,SHELF_LIFE,number_unit,MLA1454036071,11404715
1,2025-02-17 04:39:36,"[{'id': '2726554', 'name': '1', 'struct': None}]",Unidades por pack,UNITS_PER_PACK,number,MLA1454036071,2726554
750 mL,2025-02-17 04:39:36,"[{'id': '2292305', 'name': '750 mL', 'struct': {'number': 750, 'unit': 'mL'}}]",Volumen de la unidad,UNIT_VOLUME,number_unit,MLA1454036071,2292305
Malbec,2025-02-17 04:39:36,"[{'id': '2107336', 'name': 'Malbec', 'struct': None}]",Varietal,VARIETAL,string,MLA1454036071,2107336
Cartón,2025-02-17 04:39:36,"[{'id': '13418935', 'name': 'Cartón', 'struct': None}]",Material del estuche,WINE_CASE_MATERIAL,string,MLA1454036071,13418935
Tinto,2025-02-17 04:39:36,"[{'id': '2107333', 'name': 'Tinto', 'struct': None}]",Tipo de vino,WINE_TYPE,string,MLA1454036071,2107333
1,2025-02-17 04:39:36,"[{'id': None, 'name': '1', 'struct': None}]",Cantidad de packs,PACKS_NUMBER,integer,MLA1662026052,
14 %,2025-02-17 04:39:36,"[{'id': '8897089', 'name': '14 %', 'struct': {'number': 14, 'unit': '%'}}]",Graduación alcohólica,ALCOHOL_BY_VOLUME,number_unit,MLA1662026052,8897089
Frutos rojos y negros,2025-02-17 04:39:36,"[{'id': '22175779', 'name': 'Frutos rojos y negros', 'struct': None}]",Aromas,AROMAS,string,MLA1662026052,22175779
18 meses,2025-02-17 04:39:36,"[{'id': '9163252', 'name': '18 meses', 'struct': {'number': 18, 'unit': 'meses'}}]",Tiempo en barrica,BARREL_TIME,number_unit,MLA1662026052,9163252
Catena Zapata,2025-02-17 04:39:36,"[{'id': '1163443', 'name': 'Catena Zapata', 'struct': None}]",Marca,BRAND,string,MLA1662026052,1163443
Catena Zapata,2025-02-17 04:39:36,"[{'id': '2292304', 'name': 'Catena Zapata', 'struct': None}]",Bodega,CELLAR,string,MLA1662026052,2292304
16 °C,2025-02-17 04:39:36,"[{'id': '12240407', 'name': '16 °C', 'struct': {'number': 16, 'unit': '°C'}}]",Temperatura ideal de consumo,IDEAL_CONSUMING_TEMPERATURE,number_unit,MLA1662026052,12240407
Sí,2025-02-17 04:39:36,"[{'id': '242085', 'name': 'Sí', 'struct': None}]",Incluye estuche,INCLUDES_CASE,boolean,MLA1662026052,242085
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es bebida sin alcohol,IS_NON_ALCOHOLIC_DRINK,boolean,MLA1662026052,242084
No,2025-02-17 04:39:36,"[{'id': '242084', 'name': 'No', 'struct': None}]",Es orgánico,IS_ORGANIC,boolean,MLA1662026052,242084
Nuevo,2025-02-17 04:39:36,"[{'id': '2230284', 'name': 'Nuevo', 'struct': None}]",Condición del ítem,ITEM_CONDITION,list,MLA1662026052,2230284
Angelica Zapata,2025-02-17 04:39:36,"[{'id': '29684186', 'name': 'Angelica Zapata', 'struct': None}]",Línea,LINE,string,MLA1662026052,29684186
Vino Angelica Zapata Malbec 750ml Caja X 4u,2025-02-17 04:39:36,"[{'id': '29684187', 'name': 'Vino Angelica Zapata Malbec 750ml Caja X 4u', 'struct': None}]",Título manual,MANUAL_TITLE,string,MLA1662026052,29684187
Argentina,2025-02-17 04:39:36,"[{'id': '96380', 'name': 'Argentina', 'struct': None}]",Origen,ORIGIN,string,MLA1662026052,96380
Botella,2025-02-17 04:39:36,"[{'id': '2290293', 'name': 'Botella', 'struct': None}]",Tipo de envase,PACKAGING_TYPE,string,MLA1662026052,2290293
Buenos momentos,2025-02-17 04:39:36,"[{'id': '27271732', 'name': 'Buenos momentos', 'struct': None}]",Maridajes,PAIRINGS,string,MLA1662026052,27271732
Temperatura ambiente,2025-02-17 04:39:36,"[{'id': '10792872', 'name': 'Temperatura ambiente', 'struct': None}]",Conservación del producto,PRODUCT_CONSERVATION,list,MLA1662026052,10792872
"Frágil,Contiene líquido",2025-02-17 04:39:36,"[{'id': '7435883', 'name': 'Frágil', 'struct': None}, {'id': '7435885', 'name': 'Contiene líquido', 'struct': None}]",Características del producto,PRODUCT_FEATURES,list,MLA1662026052,
Mendoza,2025-02-17 04:39:36,"[{'id': '18472282', 'name': 'Mendoza', 'struct': None}]",Regiones,REGIONS,string,MLA1662026052,18472282
,2025-02-17 04:39:36,"[{'id': '-1', 'name': None, 'struct': None}]",Número de Registro Nacional de Establecimiento (RNE),RNE_ESTABLISHMENT_NATIONAL_REGISTRATION_NUMBER,string,MLA1662026052,-1
,2025-02-17 04:39:36,"[{'id': '-1', 'name': None, 'struct': None}]",Número de inscripción de producto (RNPA),RNPA_PRODUCT_INSCRIPTION_NUMBER,string,MLA1662026052,-1
Pack,2025-02-17 04:39:36,"[{'id': '1359392', 'name': 'Pack', 'struct': None}]",Formato de venta,SALE_FORMAT,list,MLA1662026052,1359392
AM0008K,2025-02-17 04:39:36,"[{'id': None, 'name': 'AM0008K', 'struct': None}]",SKU,SELLER_SKU,string,MLA1662026052,
4,2025-02-17 04:39:36,"[{'id': '2726556', 'name': '4', 'struct': None}]",Unidades por pack,UNITS_PER_PACK,number,MLA1662026052,2726556
750 mL,2025-02-17 04:39:36,"[{'id': '2292305', 'name': '750 mL', 'struct': {'number': 750, 'unit': 'mL'}}]",Volumen de la unidad,UNIT_VOLUME,number_unit,MLA1662026052,2292305
Malbec,2025-02-17 04:39:36,"[{'id': '2107336', 'name': 'Malbec', 'struct': None}]",Varietal,VARIETAL,string,MLA1662026052,2107336
